time_s,avg_wait_s,stopped_vehicles
60,0.484,1
120,0.350,3
180,0.691,4
240,2.844,12
300,1.724,10
360,0.589,6
420,2.582,14
480,5.520,22
540,1.727,12
600,1.118,4
660,2.173,14
720,2.409,16
780,0.891,12
840,4.817,23
900,2.780,17
960,1.870,17
1020,1.454,8
1080,3.948,27
1140,2.457,20
1200,0.743,13
1260,2.695,27
1320,4.983,54
1380,3.995,62
1440,5.630,70
1500,4.247,93
1560,4.541,103
1620,5.950,137
1680,10.486,186
1740,12.439,223
1800,14.714,207
1860,26.421,290
1920,42.183,373
1980,50.076,384
2040,48.470,412
2100,46.030,475
2160,65.026,535
2220,78.322,574
2280,91.129,639
2340,114.890,717
2400,134.087,783
2460,147.175,785
2520,138.259,810
2580,145.240,855
2640,171.553,815
2700,212.682,891
2760,243.831,863
2820,270.354,891
2880,298.922,914
2940,317.530,930
3000,348.290,929
3060,386.097,933
3120,427.996,984
3180,464.716,980
3240,476.189,1022
3300,435.261,972
3360,445.490,1055
3420,494.189,1089
3480,530.300,1098
3540,550.065,1115
3600,575.860,1153
